run_id,learning_rate,depth,l2_leaf_reg,subsample,colsample_bylevel,bagging_temperature,random_strength,seed,model_path,features,accuracy,auc,metric,time,best_param
92,0.01,8,5,1.0,0.8,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
93,0.01,8,5,1.0,1.0,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
94,0.01,8,5,1.0,1.0,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
95,0.01,8,5,1.0,1.0,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
96,0.01,8,5,1.0,1.0,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth8_l25.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
97,0.05,6,1,0.8,0.8,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
98,0.05,6,1,0.8,0.8,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
99,0.05,6,1,0.8,0.8,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
100,0.05,6,1,0.8,0.8,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
101,0.05,6,1,0.8,1.0,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
102,0.05,6,1,0.8,1.0,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
103,0.05,6,1,0.8,1.0,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
104,0.05,6,1,0.8,1.0,1.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
105,0.05,6,1,1.0,0.8,0.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
106,0.05,6,1,1.0,0.8,0.0,1.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
107,0.05,6,1,1.0,0.8,1.0,0.0,42,/content/drive/MyDrive/Phiradon168/output_default/model_lr0.05_depth6_l21.joblib,Close,-1.0,,-1.0,2025-06-11 08:57:29,{}
