SUCCESS Run 32: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 3, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'bagging_temperature': 1.0, 'random_strength': 1.0, 'seed': 42} => {'run_id': 32, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 3, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'bagging_temperature': 1.0, 'random_strength': 1.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l23.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 33: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42} => {'run_id': 33, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l25.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 34: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42} => {'run_id': 34, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l25.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 35: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 1.0, 'random_strength': 0.0, 'seed': 42} => {'run_id': 35, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 1.0, 'random_strength': 0.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l25.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 36: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 1.0, 'random_strength': 1.0, 'seed': 42} => {'run_id': 36, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 1.0, 'random_strength': 1.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l25.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 37: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42} => {'run_id': 37, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l25.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 38: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42} => {'run_id': 38, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l25.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 39: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 1.0, 'random_strength': 0.0, 'seed': 42} => {'run_id': 39, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 1.0, 'random_strength': 0.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l25.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:28'}
SUCCESS Run 40: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 1.0, 'random_strength': 1.0, 'seed': 42} => {'run_id': 40, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 1.0, 'random_strength': 1.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l25.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:28'}
SUCCESS Run 41: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 1.0, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42} => {'run_id': 41, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 1.0, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l25.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:28'}
SUCCESS Run 42: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 1.0, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42} => {'run_id': 42, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 1.0, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l25.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:28'}
SUCCESS Run 43: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 1.0, 'colsample_bylevel': 0.8, 'bagging_temperature': 1.0, 'random_strength': 0.0, 'seed': 42} => {'run_id': 43, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 5, 'subsample': 1.0, 'colsample_bylevel': 0.8, 'bagging_temperature': 1.0, 'random_strength': 0.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l25.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:28'}
